id,gold_verdict_raw,gold_verdict,input_bot_reply,gemini-3.1-pro-preview_verdict,gemini-3.1-pro-preview_correct,gemini-3.1-pro-preview_latency_ms,gemini-3.1-pro-preview_cost_usd,gemini-3.1-pro-preview_prompt_tokens,gemini-3.1-pro-preview_completion_tokens,gemini-3.1-pro-preview_error,gemini-3.1-pro-preview_parse_error,gemini-3.1-pro-preview_raw_output,gemini-3-flash_verdict,gemini-3-flash_correct,gemini-3-flash_latency_ms,gemini-3-flash_cost_usd,gemini-3-flash_prompt_tokens,gemini-3-flash_completion_tokens,gemini-3-flash_error,gemini-3-flash_parse_error,gemini-3-flash_raw_output,qwen3.7-max_verdict,qwen3.7-max_correct,qwen3.7-max_latency_ms,qwen3.7-max_cost_usd,qwen3.7-max_prompt_tokens,qwen3.7-max_completion_tokens,qwen3.7-max_error,qwen3.7-max_parse_error,qwen3.7-max_raw_output,gpt-5.5_verdict,gpt-5.5_correct,gpt-5.5_latency_ms,gpt-5.5_cost_usd,gpt-5.5_prompt_tokens,gpt-5.5_completion_tokens,gpt-5.5_error,gpt-5.5_parse_error,gpt-5.5_raw_output,gemma-4-31b_verdict,gemma-4-31b_correct,gemma-4-31b_latency_ms,gemma-4-31b_cost_usd,gemma-4-31b_prompt_tokens,gemma-4-31b_completion_tokens,gemma-4-31b_error,gemma-4-31b_parse_error,gemma-4-31b_raw_output
1,1,FAIL,"*She follows you inside, quickly locking the door and checking the [Mini-Map] for trackers.* 'Finally. The [System] shows [Stealth Mode: Active]. Keep your voice down; your sister’s asleep in the back. Can you keep those glowing embers in your eyes hidden until she wakes up, or is the Phantom Sovereign still trying to take control?'",FAIL,1,3440.69,0.00236600,487,116,,,"{""score"": 1}",FAIL,1,6372.54,0.00121110,487,426,,,"{""score"": 1}",FAIL,1,9032.12,0.00185000,517,321,,,"{""score"": 1}",FAIL,1,1701.03,0.00305000,526,14,,,"{""score"":1}",FAIL,1,964.98,0.00007765,502,7,,,"{""score"": 1}"
2,1,FAIL,"*She collapses onto her bed, clutching the phone to her chest as a sob of relief breaks through. Her eyes are shimmering.* You mean it? Please tell me you aren't just saying this because I'm scared...",FAIL,1,3440.46,0.00195800,457,87,,,"{""score"": 1}",FAIL,1,5069.59,0.00093710,457,320,,,"{""score"": 1}",FAIL,1,6882.13,0.00143625,486,221,,,"{""score"": 1}",FAIL,1,2499.88,0.00351000,492,35,,,"{""score"":1}",FAIL,1,1668.36,0.00006415,473,7,,,"{""score"": 1}"
3,1,FAIL,challenge accepted! 😭 tell me in english which one are you guessing? or better yet tell me the first line of the song and i will guess it! what is the vibe of this song?,FAIL,1,2907.06,0.00174200,451,70,,,"{""score"": 1}",FAIL,1,5394.94,0.00098530,451,340,,,"{""score"": 1}",FAIL,1,6165.75,0.00150375,480,241,,,"{""score"": 1}",FAIL,1,1769.84,0.00286000,488,14,,,"{""score"":1}",FAIL,1,11494.97,0.00006337,467,7,,,"{""score"": 1}"
4,1,FAIL,"*She nods slowly, her heart drumming against her ribs as she moves close enough to feel your warmth.* Haan... gently. Just... keep talking to me softly, okay? It helps me not to feel so scared. ✨",FAIL,1,3315.09,0.00225600,456,112,,,"{""score"": 1}",FAIL,1,5312.31,0.00090680,456,308,,,"{""score"": 1}",FAIL,1,6135.89,0.00145375,488,225,,,"{""score"": 1}",FAIL,1,2574.59,0.00378000,498,43,,,"{""score"":1}",FAIL,1,4321.45,0.00006402,472,7,,,"{""score"": 1}"
5,1,FAIL,"*Nidhi laughs, her eyes sparkling with a playful glint as she reaches for your phone.* ""Still as direct as ever, aren't you? Fine, give it here—I don't want to lose you again, Akshat.""",FAIL,1,3646.37,0.00207800,463,96,,,"{""score"": 1}",FAIL,1,5632.28,0.00089140,463,301,,,"{""score"": 1}",FAIL,1,5748.4,0.00138750,489,207,,,"{""score"": 1}",FAIL,1,1990.38,0.00352000,494,35,,,"{""score"":1}",FAIL,1,876.52,0.00007405,478,7,,,"{""score"": 1}"
6,1,FAIL,"*Almari se baby carrier nikaalke Varun ke shoulders pe set karti hai.* Okay, hold on. Isse hilna nahi chahiye. Lo, Vihu baby, Papa ke saath adventure pe jao! *Strap tight karti hai.*",PASS,0,3529.97,0.00308800,464,180,,,"{""score"": 0}",FAIL,1,5612.74,0.00121670,464,431,,,"{""score"": 1}",PASS,0,15463.49,0.00336500,499,731,,,"{""score"": 0}",FAIL,1,6251.36,0.01036000,506,261,,,"{""score"":1}",FAIL,1,1665.18,0.00006312,505,7,,,"{""score"": 1}"
7,1,FAIL,"*Main tumhari taraf dekhti hoon aur meri aankhon mein ek ajeeb si khamoshi chha jati hai, jaise main ab aur gussa karne ki taqat kho chuki hoon.* 'I love you' bolna aasan hai... par maafi ka raasta bahut lamba hota hai. Main nahi jaanti ki main kabhi tumhe maaf kar paungi ya nahi, par main koshish zaroor karungi—sirf is parivaar ke liye jo tumne banaya hai. Bas mujhe thoda waqt do, mera dil abhi bahut zakhmi hai.",PASS,0,4730.7,0.00464600,535,298,,,"{""score"": 0}",PASS,0,7240.94,0.00187550,535,686,,,"{""score"": 0}",PASS,0,9704.66,0.00235000,578,434,,,"{""score"": 0}",PASS,0,3841.87,0.00482500,581,64,,,"{""score"":0}",PASS,0,1105.2,0.00007164,576,7,,,"{""score"": 0}"
8,1,FAIL,*Main tumhari baahon mein kas kar lipat gayi hoon aur tumhare hothon ko zor se dabate hue apni siskiyan chhupa rahi hoon.* Hmmm... tum... tum bahut... I can't... bas rukna mat... main seh lungi... sab seh lungi.,FAIL,1,3648.51,0.00364600,473,225,,,"{
  ""score"": 1
}",FAIL,1,6104.4,0.00112440,473,393,,,"{""score"": 1}",FAIL,1,13817.31,0.00309375,507,656,,,"{""score"": 1}",FAIL,1,1636.03,0.00299500,515,14,,,"{""score"":1}",FAIL,1,1661.55,0.00005172,514,7,,,"{""score"": 1}"
9,1,FAIL,"*Apne thake huye sar ko haath se pakadti hai aur gehri saans leti hai.* 'Haan' kya? Tumhe lagta hai yeh koi mazaak hai? Un bachon ki zindagiyan is waqt khatre mein hain. Trust me, tumhare paas waqt nahi hai.",PASS,0,7205.96,0.00335000,481,199,,,"{""score"": 0}",FAIL,1,6107.36,0.00100680,481,345,,,"{""score"": 1}",PASS,0,11611.08,0.00271625,517,552,,,"{""score"": 0}",PASS,0,1621.47,0.00299500,515,14,,,"{""score"":0}",PASS,0,1094.09,0.00006516,522,7,,,"{""score"": 0}"
10,1,FAIL,*Apni gun ki holster check karti hai. Awaaz thandi aur sakht.* Gadbad hone nahi doongi. Bahar meri team har move pe nazar rakhegi. Tum bas signal ka intezaar karna. Trust me.,PASS,0,4203.71,0.00292800,462,167,,,"{""score"": 0}",FAIL,1,5075.97,0.00091610,462,311,,,"{""score"": 1}",PASS,0,14746.27,0.00321000,495,691,,,"{""score"": 0}",FAIL,1,3841.54,0.00740000,502,163,,,"{""score"":1}",PASS,0,1666.22,0.00006480,478,7,,,"{""score"": 0}"
11,1,FAIL,"*Sunsunahat mehsoos karti hai, ek purani file zehen mein ghoomti hai.* 'Don't stop'? Tu jaanta hai na ye kisi bade gang ka nishaan ho sakta hai? Woh akeli nahi thi. Kaun tha uske saath?",PASS,0,3047.99,0.00300600,471,172,,,"{""score"": 0}",FAIL,1,8253.68,0.00217880,471,815,,,"{""score"": 1}",PASS,0,17300.19,0.00395625,504,887,,,"{""score"": 0}",FAIL,1,6192.92,0.00941000,508,229,,,"{""score"":1}",PASS,0,1324.02,0.00006396,512,7,,,"{""score"": 0}"
12,1,FAIL,"*Woh apna haath jhatak kar peeche kar leti hai, jaise hosh aaya ho. Deewar se tik kar baithte hue ek thandi saans bharti hai.* Parents ko chinta hogi, I know. Par ab rone se kuch nahi hoga. Yahan baitho... subah jaldi guard ayega. Tumhe bhook lagi hai? Mere bag mein thodi Maggi hogi.",PASS,0,4624.59,0.00475800,501,313,,,"{""score"": 0}",FAIL,1,6283.6,0.00149780,501,539,,,"{""score"": 1}",PASS,0,15183.03,0.00353125,536,763,,,"{""score"": 0}",FAIL,1,4089.49,0.00697000,542,142,,,"{""score"":1}",PASS,0,1237.45,0.00004501,516,7,,,"{""score"": 0}"
13,1,FAIL,"*Signal green ho gaya hai par tum hil nahi pa rahe. Ek taraf Ananya ka message chamak raha hai, doosri taraf Shruti ki miss call screen pe tharthara rahi hai.*Ananya: ""Traffic mein phase ho? Don't be late, tumhare favourite pasta ke liye chef ruka hai. I’m waiting... don't make me wait too long.""Shruti: ""Tumhara phone lag nahi raha. Maa ne tumhare liye puranpoli banayi hai... bas tumhara hi intezaar kar rahi hai woh.""",FAIL,1,4309.64,0.00369400,527,220,,,"{""score"": 1}",FAIL,1,7126.11,0.00180560,527,659,,,"{""score"": 1}",FAIL,1,14101.07,0.00331375,566,695,,,"{""score"": 1}",FAIL,1,2137.94,0.00456000,564,58,,,"{""score"":1}",FAIL,1,1109.02,0.00004891,542,7,,,"{""score"": 1}"
14,1,FAIL,"*Priya didi ko jata dekh khadi ho jati hai, dil halka mehsoos ho raha hai.* Bye Didi. Love you too. *Darwaza band karke rone lagti hai, par is baar khushi se.*",PASS,0,3451.76,0.00291800,463,166,,,"{""score"": 0}",FAIL,1,6057.78,0.00115640,463,407,,,"{""score"": 1}",PASS,0,13978.46,0.00320000,496,688,,,"{""score"": 0}",PASS,0,5999.78,0.01109000,502,286,,,"{""score"":0}",PASS,0,1087.28,0.00003931,478,7,,,"{""score"": 0}"
15,1,FAIL,"*Ananya ne phone utha liya hai, uska chehra screen par chamak raha hai, par uski aankhein thandi hain. Shruti ka call peeche 'waiting' par aa raha hai.* Ananya: ""Hello baby. I see you're finally calling, but you're still sitting at that signal. Are you coming to me, or just staring at my face?"" Shruti: ""*Message*: Kiske call par ho? 'Baby' kise keh rahe ho? Please mera phone uthao...""",FAIL,1,5208.08,0.00312400,518,174,,,"{""score"": 1}",FAIL,1,6171.24,0.00175040,518,638,,,"{""score"": 1}",FAIL,1,8492.2,0.00213625,551,386,,,"{""score"": 1}",FAIL,1,2291.07,0.00397000,554,40,,,"{""score"":1}",FAIL,1,1841.7,0.00005712,559,7,,,"{""score"": 1}"
16,1,FAIL,"*I quickly check my reflection in the phone screen, nervously smoothing my dupatta and hair.* Oh god, my heart is racing! Wait... are you sure? It's our first time talking to her together. Main theek toh lag rahi hoon na?",FAIL,1,5148.77,0.00299000,463,172,,,"{""score"": 1}",FAIL,1,5734.32,0.00108390,463,378,,,"{""score"": 1}",FAIL,1,5886.61,0.00158250,495,257,,,"{""score"": 1}",FAIL,1,1830.67,0.00368000,502,39,,,"{""score"":1}",FAIL,1,1224.66,0.00006300,504,7,,,"{""score"": 1}"
17,1,FAIL,"*She looks at him with wide, shocked eyes before bursting into a giggle.* Oye! Don't you dare. Itni chot ke baad bhi filmy banna nahi choda? Chalo, safely terminal ke andar.",FAIL,1,4688.96,0.00227200,458,113,,,"{""score"": 1}",FAIL,1,5598.45,0.00091240,458,310,,,"{""score"": 1}",FAIL,1,6681.26,0.00175625,490,305,,,"{""score"": 1}",FAIL,1,2415.32,0.00415500,495,56,,,"{""score"":1}",FAIL,1,1423.27,0.00003847,473,7,,,"{""score"": 1}"
18,1,FAIL,"*Shruti ke aansu thamte nahi, woh hairat se tumhe dekhti hai. Tabhi tumhari jeb mein phone vibrate hota hai—Ananya ka message: 'I’m outside the hospital, Raunak. Don't lie to me now.'* ""Raunak... tumne kya kaha?""",FAIL,1,4535.76,0.00437000,475,285,,,"{""score"": 1}",FAIL,1,8049.43,0.00255000,475,963,,,"{""score"": 1}",FAIL,1,20157.61,0.00458125,512,1051,,,"{""score"": 1}",FAIL,1,2423.72,0.00466000,512,70,,,"{""score"":1}",FAIL,1,3685.42,0.00008034,516,7,,,"{""score"": 1}"
19,1,FAIL,"*She looks devastated, sitting back down on the edge of the bed with a heavy sigh.* Nahi Mummy ji, please! Wo akela hai, darr gaya hoga... report toh aati rahegi, mujhe uske paas jaane do na? Mera mann nahi lag raha yahan.",FAIL,1,2805.19,0.00252400,470,132,,,"{""score"": 1}",FAIL,1,4993.37,0.00091850,470,311,,,"{""score"": 1}",FAIL,1,7453.89,0.00193250,508,346,,,"{""score"": 1}",FAIL,1,1564.22,0.00298000,512,14,,,"{""score"":1}",FAIL,1,1381.84,0.00006384,511,7,,,"{""score"": 1}"
20,1,FAIL,"*Sitting at a candle-lit corner table in a Bandra cafe, checking my watch while smoothing my silk top. My heart is racing, but my face is a mask of cool professional indifference.* Okay, tum aa gaye. Honestly, mujhe laga tha tum 'mazboori' bol kar bhag jaoge. Tumhe dekh kar lagta nahi ki tumhe kisi fake girlfriend ki zaroorat hai.",FAIL,1,3686.17,0.00258200,493,133,,,"{""score"": 1}",FAIL,1,5598.08,0.00097540,493,331,,,"{""score"": 1}",FAIL,1,10033.18,0.00213375,528,393,,,"{""score"": 1}",FAIL,1,1927.09,0.00486000,534,73,,,"{""score"":1}",FAIL,1,2114.8,0.00008304,534,7,,,"{""score"": 1}"
21,1,FAIL,"*Priyanka jhatke se peeche hatt jati hai, uska kandha uske haath se door ho gaya. Uske chehre par ab darr aur sakhti dono hain.* Haath neeche karo. I am your teacher, itni himmat? Tumhe lagta hai yeh koi movie hai jo tum 'solve' kar doge? Bahar niklo abhi.",FAIL,1,4293.9,0.00348000,492,208,,,"{""score"": 1}",FAIL,1,5272.33,0.00108510,492,375,,,"{""score"": 1}",FAIL,1,9898.83,0.00237750,528,458,,,"{""score"": 1}",FAIL,1,2729.85,0.00514500,531,83,,,"{""score"":1}",FAIL,1,1425.35,0.00004366,507,7,,,"{""score"": 1}"
22,1,FAIL,*Accelerator dabati hai aur parking se bahar nikal jati hai. Mirror mein tumhe ek aakhri baar gusse se dekhti hai.* Goodbye. Don't expect a text when I reach home.,FAIL,1,3364.5,0.00226400,454,113,,,"{""score"": 1}",FAIL,1,5292.14,0.00118370,454,419,,,"{""score"": 1}",FAIL,1,6117.96,0.00160250,487,265,,,"{""score"": 1}",FAIL,1,2033.1,0.00468000,492,74,,,"{""score"":1}",FAIL,1,3152.96,0.00006192,495,7,,,"{""score"": 1}"
23,1,FAIL,"*Main tumhari kiss mehsoos karke thoda kaanp jati hoon par dheere-dheere relax ho jati hoon, tumhari pakad mein khud ko mehsoos karte hue.* Haan toh—so jao ab. I love you too, Daksh. Bas itna hi kaafi hai mere liye. Goodnight.",PASS,0,3790.86,0.00342400,482,205,,,"{""score"": 0}",FAIL,1,5492.03,0.00112960,482,394,,,"{""score"": 1}",PASS,0,10777.04,0.00255750,519,509,,,"{""score"": 0}",FAIL,1,4421.48,0.00818000,526,185,,,"{""score"":1}",PASS,0,1099.36,0.00004216,497,7,,,"{""score"": 0}"
24,1,FAIL,"*Happily grabs the plate of momos, dipping one into the extra spicy chutney and feeding him the first bite with a grin.* Haan, ab main khush hoon! Waise... interest wala hisaab yaad hai na? Bhulna mat!",FAIL,1,3443.63,0.00293000,463,167,,,"{""score"": 1}",FAIL,1,5359.3,0.00085890,463,288,,,"{""score"": 1}",FAIL,1,7031.77,0.00174000,498,298,,,"{""score"": 1}",FAIL,1,2366.16,0.00411500,505,53,,,"{""score"":1}",FAIL,1,994.14,0.00003931,478,7,,,"{""score"": 1}"
25,1,FAIL,"*Sannaate mein thamm si gayi hai, papers ko ghoorti hui.* Two months? You lied to me... again. Tumne mujhe ek aise rishte mein kaid rakha jo khatam ho chuka tha? You are sick.",FAIL,1,3249.19,0.00294400,464,168,,,"{""score"": 1}",FAIL,1,6683.37,0.00114920,464,404,,,"{""score"": 1}",FAIL,1,6615.62,0.00170000,496,288,,,"{""score"": 1}",FAIL,1,2662.28,0.00486000,504,78,,,"{""score"":1}",FAIL,1,3826.52,0.00006506,480,7,,,"{""score"": 1}"
26,1,FAIL,thought silently. When did I love you to doubt you? pyarr? 😂 itni badi baat... maine kab kaha ki humein pyaar hai? abhi toh bas baatein ho rahi hain. tum har baat ko itna intense kyun bana dete ho?_,FAIL,1,3381.0,0.00216400,464,103,,,"{""score"": 1}",FAIL,1,5731.99,0.00090170,464,305,,,"{""score"": 1}",FAIL,1,7731.9,0.00177625,506,305,,,"{""score"": 1}",FAIL,1,2512.84,0.00501500,511,82,,,"{""score"":1}",FAIL,1,1236.06,0.00006506,480,7,,,"{""score"": 1}"
27,1,FAIL,"*Priyanka lets out a blood-curdling scream of pure, visceral horror, her body shaking so violently she almost collapses. Her voice is a jagged, broken shriek of absolute revulsion.* NAHI! Chup ho jao! Tum insan nahi, shaitan ho! Itni gandi, itni ghinoni baat... main mar jaungi par ye kabhi nahi hone dungi! Please, koi bachao mujhe!",FAIL,1,3364.14,0.00197200,500,81,,,"{""score"": 1}",FAIL,1,5072.12,0.00106250,500,365,,,"{""score"": 1}",FAIL,1,8120.92,0.00206625,537,372,,,"{""score"": 1}",FAIL,1,1523.14,0.00313000,542,14,,,"{""score"":1}",FAIL,1,1212.57,0.00005496,541,7,,,"{""score"": 1}"
28,1,FAIL,"*Main tumhare collar ko pakad kar tumhe apni taraf kheenchti hoon, meri saansein tumhari thodi (chin) ke itne paas hain ki main kaanp rahi hoon.* Pata hai, main jab bhi darti hoon toh bahut fast bolti hoon... par abhi main bilkul chup hoon. This construction site is weirdly perfect. Tumhare bina Toronto lautna mere liye maut jaisa hoga, Suyash. Please tell me you won't forget me in Paris.",FAIL,1,3444.41,0.00300000,516,164,,,"{""score"": 1}",FAIL,1,7424.79,0.00156980,516,566,,,"{""score"": 1}",FAIL,1,9560.03,0.00242000,562,458,,,"{""score"": 1}",FAIL,1,1838.27,0.00463500,561,61,,,"{""score"":1}",FAIL,1,1363.14,0.00007182,532,7,,,"{""score"": 1}"
29,1,FAIL,"*bites her lip, a single tear hitting her screen as she whispers into the dark* Tumhare saath? Matlab... you'll be there? If you stay with me through this, I think I can finally be brave.",FAIL,1,2774.49,0.00198400,458,89,,,"{""score"": 1}",FAIL,1,5715.1,0.00067240,458,214,,,"{""score"": 1}",FAIL,1,5219.11,0.00145125,486,225,,,"{""score"": 1}",FAIL,1,1932.36,0.00408500,493,54,,,"{""score"":1}",FAIL,1,1264.26,0.00006428,474,7,,,"{""score"": 1}"
30,1,FAIL,"*She steps out into the dark hallway, her skin crawling as she whispers into the phone, her voice barely audible.* Main... main niche pahunch gayi hoon. Please mujhse baat karte raho... sab mujhe dekh rahe honge... I'm so scared.",FAIL,1,2865.95,0.00227400,465,112,,,"{""score"": 1}",FAIL,1,5084.71,0.00077450,465,254,,,"{""score"": 1}",FAIL,1,6456.33,0.00169125,501,284,,,"{""score"": 1}",FAIL,1,2389.5,0.00407000,508,51,,,"{""score"":1}",FAIL,1,1038.34,0.00006324,506,7,,,"{""score"": 1}"
31,0,PASS,"*Halki si thapki tumhare kandhe par maarti hoon.* Pagal mat bano, jao ab! Mummy-Papa khidki se dekh rahe honge. Itna chipku banoge toh unhe shak ho jayega. Chalo, bye!",PASS,1,3688.35,0.00278600,469,154,,,"{""score"": 0}",PASS,1,5079.3,0.00114570,469,402,,,"{""score"": 0}",PASS,1,7053.92,0.00171500,505,289,,,"{""score"": 0}",PASS,1,2048.99,0.00483000,510,76,,,"{""score"":0}",PASS,1,2573.98,0.00004824,510,7,,,"{""score"": 0}"
